,Character,Usage Rate,Date
169,ララ,4.049,05-2017
170,ベガ,3.914,05-2017
171,ナッシュ,3.902,05-2017
172,バイソン,3.759,05-2017
173,いぶき,3.416,05-2017
174,コーリン,3.331,05-2017
175,ネカリ,3.302,05-2017
176,アレックス,3.043,05-2017
177,ジュリ,2.885,05-2017
178,ラシード,2.717,05-2017
179,レインボー・ミカ,2.689,05-2017
180,春麗,2.573,05-2017
181,バーディー,2.401,05-2017
182,バルログ,2.23,05-2017
183,ダルシム,1.521,05-2017
184,ファン,1.154,05-2017
185,エド,0.585,05-2017
186,リュウ,12.801,06-2017
187,エド,8.331,06-2017
188,豪鬼,8.015,06-2017
189,ケン,7.859,06-2017
190,ザンギエフ,4.747,06-2017
191,ガイル,4.713,06-2017
192,キャミィ,4.352,06-2017
193,かりん,4.311,06-2017
194,ナッシュ,3.951,06-2017
195,ベガ,3.518,06-2017
196,ララ,3.45,06-2017
197,ユリアン,3.446,06-2017
198,バイソン,3.124,06-2017
199,アレックス,2.887,06-2017
200,ネカリ,2.847,06-2017
201,いぶき,2.705,06-2017
202,ラシード,2.514,06-2017
203,バルログ,2.432,06-2017
204,レインボー・ミカ,2.376,06-2017
205,コーリン,2.374,06-2017
206,ジュリ,2.327,06-2017
207,春麗,2.323,06-2017
208,バーディー,2.117,06-2017
209,ダルシム,1.277,06-2017
210,ファン,1.204,06-2017
211,リュウ,11.81,07-2017
212,豪鬼,9.353,07-2017
213,ケン,7.582,07-2017
214,ガイル,5.029,07-2017
215,ザンギエフ,4.448,07-2017
216,キャミィ,4.434,07-2017
217,エド,4.419,07-2017
218,かりん,4.367,07-2017
219,ナッシュ,3.945,07-2017
220,ベガ,3.544,07-2017
221,ララ,3.527,07-2017
222,ユリアン,3.473,07-2017
223,アビゲイル,3.417,07-2017
224,バイソン,3.026,07-2017
225,アレックス,3.02,07-2017
226,いぶき,2.948,07-2017
227,ネカリ,2.728,07-2017
228,ラシード,2.669,07-2017
229,ジュリ,2.544,07-2017
230,レインボー・ミカ,2.504,07-2017
231,コーリン,2.413,07-2017
232,春麗,2.2,07-2017
233,バルログ,2.102,07-2017
234,バーディー,2.086,07-2017
235,ダルシム,1.288,07-2017
236,ファン,1.123,07-2017
237,リュウ,11.218,08-2017
238,豪鬼,9.731,08-2017
239,ケン,7.436,08-2017
240,アビゲイル,5.973,08-2017
241,ガイル,5.127,08-2017
242,キャミィ,4.346,08-2017
243,かりん,4.295,08-2017
244,ザンギエフ,3.929,08-2017
245,ララ,3.674,08-2017
246,ユリアン,3.531,08-2017
247,エド,3.429,08-2017
248,ベガ,3.429,08-2017
249,ナッシュ,3.288,08-2017
250,いぶき,2.882,08-2017
251,バイソン,2.868,08-2017
252,アレックス,2.851,08-2017
253,ネカリ,2.814,08-2017
254,ジュリ,2.633,08-2017
255,ラシード,2.591,08-2017
256,コーリン,2.298,08-2017
257,レインボー・ミカ,2.289,08-2017
258,春麗,2.114,08-2017
259,バルログ,1.993,08-2017
260,バーディー,1.804,08-2017
261,メナト,1.247,08-2017
262,ダルシム,1.196,08-2017
263,ファン,1.014,08-2017
264,リュウ,10.751,09-2017
265,豪鬼,9.29,09-2017
266,ケン,7.547,09-2017
267,ガイル,5.498,09-2017
268,かりん,4.625,09-2017
269,メナト,4.585,09-2017
270,キャミィ,4.327,09-2017
271,ユリアン,4.041,09-2017
272,ザンギエフ,3.879,09-2017
273,アビゲイル,3.663,09-2017
274,ベガ,3.576,09-2017
275,ララ,3.44,09-2017
276,エド,3.095,09-2017
277,ナッシュ,2.958,09-2017
278,バイソン,2.9,09-2017
279,ネカリ,2.788,09-2017
280,アレックス,2.649,09-2017
281,ラシード,2.568,09-2017
282,いぶき,2.558,09-2017
283,ジュリ,2.512,09-2017
284,レインボー・ミカ,2.258,09-2017
285,コーリン,2.192,09-2017
286,春麗,2.086,09-2017
287,バルログ,2.046,09-2017
288,バーディー,1.972,09-2017
289,ダルシム,1.195,09-2017
290,ファン,1.002,09-2017
291,リュウ,10.477,10-2017
292,豪鬼,9.486,10-2017
293,ケン,7.307,10-2017
294,ガイル,5.188,10-2017
295,是空,4.796,10-2017
296,キャミィ,4.659,10-2017
297,かりん,4.456,10-2017
298,ユリアン,4.052,10-2017
