,Character,Usage Rate,Date
853,レインボー・ミカ,2.106,03-2019
854,G,2.082,03-2019
855,コーディー,2.075,03-2019
856,アビゲイル,1.837,03-2019
857,エド,1.831,03-2019
858,ネカリ,1.784,03-2019
859,ラシード,1.776,03-2019
860,バルログ,1.579,03-2019
861,ダルシム,1.268,03-2019
862,ブランカ,1.254,03-2019
863,ファルケ,1.157,03-2019
864,メナト,1.015,03-2019
865,ファン,0.899,03-2019
866,リュウ,10.452,04-2019
867,豪鬼,8.37,04-2019
868,ケン,6.517,04-2019
869,ガイル,4.584,04-2019
870,かりん,4.205,04-2019
871,影ナル者,4.059,04-2019
872,ザンギエフ,4.012,04-2019
873,ベガ,3.948,04-2019
874,キャミィ,3.432,04-2019
875,是空,2.582,04-2019
876,ユリアン,2.554,04-2019
877,いぶき,2.41,04-2019
878,G,2.397,04-2019
879,バーディー,2.333,04-2019
880,アレックス,2.33,04-2019
881,サガット,2.326,04-2019
882,春麗,2.323,04-2019
883,さくら,2.316,04-2019
884,ジュリ,2.259,04-2019
885,ナッシュ,2.216,04-2019
886,バイソン,2.198,04-2019
887,ララ,2.142,04-2019
888,レインボー・ミカ,2.075,04-2019
889,コーリン,1.964,04-2019
890,コーディー,1.867,04-2019
891,ラシード,1.84,04-2019
892,エド,1.833,04-2019
893,アビゲイル,1.685,04-2019
894,ネカリ,1.659,04-2019
895,バルログ,1.587,04-2019
896,ダルシム,1.243,04-2019
897,ブランカ,1.186,04-2019
898,ファルケ,1.168,04-2019
899,メナト,1.057,04-2019
900,ファン,0.869,04-2019
901,リュウ,10.702,05-2019
902,豪鬼,8.811,05-2019
903,ケン,6.783,05-2019
904,ガイル,4.672,05-2019
905,かりん,4.412,05-2019
906,ザンギエフ,3.904,05-2019
907,ベガ,3.845,05-2019
908,影ナル者,3.719,05-2019
909,キャミィ,3.474,05-2019
910,是空,2.578,05-2019
911,ユリアン,2.569,05-2019
912,いぶき,2.497,05-2019
913,さくら,2.354,05-2019
914,G,2.328,05-2019
915,バーディー,2.279,05-2019
916,ナッシュ,2.252,05-2019
917,ジュリ,2.237,05-2019
918,ララ,2.231,05-2019
919,春麗,2.212,05-2019
920,アレックス,2.192,05-2019
921,サガット,2.181,05-2019
922,レインボー・ミカ,2.105,05-2019
923,コーリン,2.031,05-2019
924,バイソン,1.984,05-2019
925,ラシード,1.86,05-2019
926,エド,1.765,05-2019
927,コーディー,1.752,05-2019
928,ネカリ,1.644,05-2019
929,アビゲイル,1.644,05-2019
930,バルログ,1.521,05-2019
931,ダルシム,1.235,05-2019
932,ファルケ,1.215,05-2019
933,ブランカ,1.138,05-2019
934,メナト,1.028,05-2019
935,ファン,0.846,05-2019
936,リュウ,10.334,06-2019
937,豪鬼,8.967,06-2019
938,ケン,6.638,06-2019
939,ガイル,4.896,06-2019
940,かりん,4.463,06-2019
941,ベガ,4.095,06-2019
942,ザンギエフ,3.83,06-2019
943,影ナル者,3.494,06-2019
944,キャミィ,3.306,06-2019
945,ユリアン,2.631,06-2019
946,いぶき,2.544,06-2019
947,さくら,2.511,06-2019
948,サガット,2.41,06-2019
949,バーディー,2.372,06-2019
950,ララ,2.334,06-2019
951,是空,2.324,06-2019
952,ナッシュ,2.265,06-2019
953,春麗,2.237,06-2019
954,アレックス,2.236,06-2019
955,レインボー・ミカ,2.153,06-2019
956,G,2.141,06-2019
957,ジュリ,2.122,06-2019
958,コーリン,2.013,06-2019
959,バイソン,1.994,06-2019
960,アビゲイル,1.815,06-2019
961,ラシード,1.791,06-2019
962,ネカリ,1.748,06-2019
963,コーディー,1.746,06-2019
964,エド,1.653,06-2019
965,バルログ,1.557,06-2019
966,ダルシム,1.213,06-2019
967,ファルケ,1.205,06-2019
968,ブランカ,1.105,06-2019
969,メナト,0.978,06-2019
970,ファン,0.879,06-2019
971,リュウ,10.483,07-2019
972,豪鬼,9.095,07-2019
973,ケン,6.669,07-2019
974,ガイル,5.049,07-2019
975,かりん,4.458,07-2019
976,ベガ,4.18,07-2019
977,ザンギエフ,3.814,07-2019
978,影ナル者,3.468,07-2019
979,キャミィ,3.298,07-2019
980,いぶき,2.655,07-2019
981,ユリアン,2.644,07-2019
982,さくら,2.437,07-2019
983,サガット,2.357,07-2019
984,ララ,2.311,07-2019
985,バーディー,2.248,07-2019
986,是空,2.225,07-2019
987,ナッシュ,2.179,07-2019
988,ジュリ,2.174,07-2019
989,アレックス,2.162,07-2019
990,春麗,2.14,07-2019
991,G,2.134,07-2019
992,レインボー・ミカ,2.096,07-2019
993,バイソン,2.034,07-2019
994,コーリン,1.936,07-2019
995,ネカリ,1.872,07-2019
996,ラシード,1.866,07-2019
997,アビゲイル,1.82,07-2019
998,コーディー,1.778,07-2019
999,エド,1.714,07-2019
1000,バルログ,1.503,07-2019
1001,ダルシム,1.205,07-2019
1002,ブランカ,1.096,07-2019
1003,メナト,1.054,07-2019
1004,ファルケ,1.02,07-2019
1005,ファン,0.827,07-2019
1006,ルシア,9.113,08-2019
1007,リュウ,9.035,08-2019
1008,豪鬼,6.987,08-2019
1009,ケン,5.71,08-2019
1010,エドモンド本田,5.607,08-2019
1011,ポイズン,5.156,08-2019
1012,ガイル,3.802,08-2019
1013,かりん,3.405,08-2019
1014,ベガ,3.39,08-2019
1015,ザンギエフ,3.191,08-2019
1016,キャミィ,2.691,08-2019
1017,影ナル者,2.552,08-2019
1018,サガット,2.125,08-2019
1019,いぶき,2.013,08-2019
1020,ユリアン,1.99,08-2019
1021,さくら,1.909,08-2019
1022,ララ,1.844,08-2019
1023,是空,1.794,08-2019
1024,春麗,1.757,08-2019
1025,ナッシュ,1.719,08-2019
1026,バーディー,1.709,08-2019
1027,ジュリ,1.683,08-2019
1028,レインボー・ミカ,1.668,08-2019
1029,アレックス,1.645,08-2019
1030,ラシード,1.641,08-2019
1031,G,1.601,08-2019
1032,コーディー,1.586,08-2019
1033,バイソン,1.535,08-2019
1034,コーリン,1.502,08-2019
1035,ネカリ,1.405,08-2019
1036,アビゲイル,1.389,08-2019
1037,エド,1.37,08-2019
1038,バルログ,1.285,08-2019
1039,ダルシム,0.939,08-2019
1040,ブランカ,0.912,08-2019
1041,ファルケ,0.869,08-2019
1042,メナト,0.785,08-2019
1043,ファン,0.686,08-2019
1044,リュウ,10.106,09-2019
1045,豪鬼,8.204,09-2019
1046,ケン,6.274,09-2019
1047,ガイル,4.429,09-2019
1048,ルシア,4.138,09-2019
1049,ベガ,3.886,09-2019
1050,かりん,3.849,09-2019
1051,ザンギエフ,3.655,09-2019
1052,影ナル者,3.025,09-2019
1053,エドモンド本田,2.948,09-2019
1054,キャミィ,2.904,09-2019
1055,ポイズン,2.488,09-2019
1056,ユリアン,2.422,09-2019
1057,いぶき,2.281,09-2019
1058,サガット,2.228,09-2019
1059,是空,2.218,09-2019
1060,ララ,1.976,09-2019
1061,春麗,1.967,09-2019
1062,ナッシュ,1.939,09-2019
1063,コーリン,1.923,09-2019
1064,バーディー,1.915,09-2019
1065,G,1.889,09-2019
1066,さくら,1.887,09-2019
1067,アレックス,1.867,09-2019
1068,ラシード,1.863,09-2019
1069,ジュリ,1.814,09-2019
1070,バイソン,1.801,09-2019
1071,アビゲイル,1.716,09-2019
1072,レインボー・ミカ,1.712,09-2019
1073,コーディー,1.62,09-2019
1074,ネカリ,1.514,09-2019
1075,エド,1.494,09-2019
1076,バルログ,1.457,09-2019
1077,ダルシム,1.068,09-2019
1078,ブランカ,1.035,09-2019
1079,メナト,0.869,09-2019
1080,ファルケ,0.853,09-2019
1081,ファン,0.768,09-2019
1082,リュウ,10.098,10-2019
1083,豪鬼,8.597,10-2019
1084,ケン,6.258,10-2019
1085,ガイル,4.468,10-2019
1086,ベガ,3.936,10-2019
1087,かりん,3.926,10-2019
1088,ザンギエフ,3.88,10-2019
1089,影ナル者,3.512,10-2019
1090,キャミィ,2.886,10-2019
1091,ルシア,2.633,10-2019
1092,ユリアン,2.624,10-2019
1093,いぶき,2.413,10-2019
1094,是空,2.282,10-2019
1095,コーリン,2.146,10-2019
1096,サガット,2.113,10-2019
1097,アレックス,2.064,10-2019
1098,バーディー,2.037,10-2019
1099,エドモンド本田,2.035,10-2019
1100,春麗,2.021,10-2019
1101,ララ,2.0,10-2019
1102,G,1.983,10-2019
1103,ナッシュ,1.936,10-2019
1104,バイソン,1.931,10-2019
1105,ジュリ,1.917,10-2019
1106,ラシード,1.903,10-2019
1107,レインボー・ミカ,1.899,10-2019
1108,さくら,1.853,10-2019
1109,ポイズン,1.83,10-2019
1110,アビゲイル,1.788,10-2019
1111,コーディー,1.628,10-2019
1112,ネカリ,1.622,10-2019
1113,バルログ,1.541,10-2019
1114,エド,1.483,10-2019
1115,ダルシム,1.138,10-2019
1116,ブランカ,1.024,10-2019
1117,メナト,0.89,10-2019
1118,ファルケ,0.868,10-2019
1119,ファン,0.834,10-2019
1120,リュウ,9.952,11-2019
1121,豪鬼,8.561,11-2019
1122,ケン,6.263,11-2019
1123,ガイル,4.432,11-2019
1124,ベガ,3.981,11-2019
1125,ザンギエフ,3.882,11-2019
1126,かりん,3.781,11-2019
1127,影ナル者,3.381,11-2019
1128,キャミィ,3.006,11-2019
1129,ユリアン,2.787,11-2019
1130,いぶき,2.404,11-2019
1131,ルシア,2.351,11-2019
1132,是空,2.345,11-2019
1133,ポイズン,2.241,11-2019
1134,サガット,2.211,11-2019
1135,春麗,2.151,11-2019
1136,G,2.122,11-2019
1137,ララ,2.109,11-2019
1138,アレックス,2.056,11-2019
1139,ナッシュ,2.021,11-2019
1140,レインボー・ミカ,2.011,11-2019
1141,コーリン,2.003,11-2019
1142,さくら,1.999,11-2019
1143,バーディー,1.985,11-2019
1144,ジュリ,1.931,11-2019
1145,ラシード,1.912,11-2019
1146,アビゲイル,1.881,11-2019
1147,バイソン,1.745,11-2019
1148,コーディー,1.611,11-2019
1149,エドモンド本田,1.57,11-2019
1150,ネカリ,1.548,11-2019
1151,エド,1.547,11-2019
1152,バルログ,1.538,11-2019
1153,ダルシム,1.097,11-2019
1154,ブランカ,1.049,11-2019
1155,メナト,0.894,11-2019
1156,ファルケ,0.864,11-2019
1157,ファン,0.777,11-2019
1158,リュウ,9.925,12-2019
1159,豪鬼,6.243,12-2019
1160,ケン,5.895,12-2019
1161,ギル,4.532,12-2019
1162,影ナル者,4.205,12-2019
1163,ガイル,4.092,12-2019
1164,ベガ,3.731,12-2019
1165,ザンギエフ,3.568,12-2019
1166,かりん,3.03,12-2019
1167,キャミィ,2.79,12-2019
1168,ユリアン,2.607,12-2019
1169,春麗,2.576,12-2019
1170,ララ,2.468,12-2019
1171,ナッシュ,2.254,12-2019
1172,アレックス,2.168,12-2019
1173,さくら,2.129,12-2019
1174,いぶき,2.109,12-2019
1175,ジュリ,2.096,12-2019
1176,ルシア,2.093,12-2019
1177,エド,2.074,12-2019
1178,サガット,2.02,12-2019
1179,G,2.011,12-2019
1180,是空,1.975,12-2019
1181,コーリン,1.904,12-2019
1182,ネカリ,1.862,12-2019
1183,アビゲイル,1.82,12-2019
1184,レインボー・ミカ,1.803,12-2019
1185,バイソン,1.769,12-2019
1186,ポイズン,1.745,12-2019
1187,コーディー,1.725,12-2019
1188,ラシード,1.719,12-2019
1189,バルログ,1.663,12-2019
1190,バーディー,1.395,12-2019
1191,エドモンド本田,1.361,12-2019
1192,ファルケ,1.021,12-2019
1193,ブランカ,1.005,12-2019
1194,ダルシム,0.992,12-2019
1195,メナト,0.876,12-2019
1196,ファン,0.75,12-2019
1197,リュウ,9.084,01-2020
1198,影ナル者,7.277,01-2020
1199,ケン,5.697,01-2020
1200,豪鬼,5.308,01-2020
1201,ギル,4.386,01-2020
1202,ガイル,3.851,01-2020
1203,ベガ,3.48,01-2020
1204,ザンギエフ,3.278,01-2020
1205,春麗,3.101,01-2020
1206,キャミィ,2.736,01-2020
1207,ユリアン,2.693,01-2020
1208,かりん,2.636,01-2020
1209,ララ,2.507,01-2020
1210,アビゲイル,2.302,01-2020
1211,ナッシュ,2.253,01-2020
1212,エド,2.244,01-2020
1213,さくら,2.211,01-2020
1214,いぶき,2.143,01-2020
1215,ジュリ,2.065,01-2020
1216,ルシア,2.06,01-2020
1217,G,1.989,01-2020
1218,アレックス,1.968,01-2020
1219,サガット,1.902,01-2020
1220,ネカリ,1.864,01-2020
1221,バイソン,1.842,01-2020
1222,是空,1.827,01-2020
1223,コーリン,1.826,01-2020
1224,コーディー,1.814,01-2020
1225,ポイズン,1.795,01-2020
1226,バルログ,1.605,01-2020
1227,レインボー・ミカ,1.53,01-2020
1228,ラシード,1.514,01-2020
1229,エドモンド本田,1.434,01-2020
1230,バーディー,1.171,01-2020
1231,ファルケ,1.038,01-2020
1232,ダルシム,0.999,01-2020
1233,ブランカ,0.988,01-2020
1234,メナト,0.916,01-2020
1235,ファン,0.668,01-2020
1236,セス,9.315,02-2020
1237,リュウ,8.905,02-2020
1238,影ナル者,5.69,02-2020
1239,ケン,5.688,02-2020
1240,豪鬼,5.134,02-2020
1241,ガイル,3.869,02-2020
1242,ザンギエフ,3.265,02-2020
1243,ベガ,3.051,02-2020
1244,ギル,2.817,02-2020
1245,キャミィ,2.776,02-2020
1246,春麗,2.655,02-2020
1247,さくら,2.514,02-2020
1248,かりん,2.393,02-2020
1249,ユリアン,2.317,02-2020
1250,ララ,2.255,02-2020
1251,アビゲイル,2.013,02-2020
1252,エド,1.974,02-2020
1253,ナッシュ,1.92,02-2020
1254,ジュリ,1.861,02-2020
1255,G,1.84,02-2020
1256,サガット,1.836,02-2020
1257,アレックス,1.779,02-2020
1258,ルシア,1.775,02-2020
1259,いぶき,1.701,02-2020
1260,バイソン,1.624,02-2020
1261,ネカリ,1.596,02-2020
1262,コーリン,1.578,02-2020
1263,コーディー,1.568,02-2020
1264,エドモンド本田,1.527,02-2020
1265,バルログ,1.507,02-2020
1266,是空,1.499,02-2020
1267,レインボー・ミカ,1.479,02-2020
1268,ポイズン,1.415,02-2020
1269,ラシード,1.291,02-2020
1270,バーディー,1.19,02-2020
1271,ダルシム,1.024,02-2020
1272,ブランカ,0.984,02-2020
1273,ファルケ,0.883,02-2020
1274,メナト,0.861,02-2020
1275,ファン,0.632,02-2020
1276,リュウ,9.715,03-2020
1277,ケン,6.432,03-2020
1278,豪鬼,6.17,03-2020
1279,セス,5.752,03-2020
1280,影ナル者,5.158,03-2020
1281,ガイル,4.493,03-2020
1282,ザンギエフ,3.531,03-2020
1283,ベガ,3.348,03-2020
1284,キャミィ,2.77,03-2020
1285,春麗,2.721,03-2020
1286,ギル,2.631,03-2020
1287,かりん,2.53,03-2020
1288,ユリアン,2.42,03-2020
1289,さくら,2.352,03-2020
1290,ララ,2.152,03-2020
1291,ナッシュ,2.048,03-2020
1292,アビゲイル,2.022,03-2020
1293,サガット,1.989,03-2020
1294,G,1.835,03-2020
1295,アレックス,1.82,03-2020
1296,エド,1.787,03-2020
1297,ジュリ,1.754,03-2020
1298,バイソン,1.682,03-2020
1299,是空,1.664,03-2020
1300,いぶき,1.652,03-2020
1301,バルログ,1.639,03-2020
1302,エドモンド本田,1.591,03-2020
1303,ネカリ,1.587,03-2020
1304,コーリン,1.586,03-2020
1305,レインボー・ミカ,1.578,03-2020
1306,コーディー,1.562,03-2020
1307,ルシア,1.479,03-2020
1308,ラシード,1.339,03-2020
1309,バーディー,1.258,03-2020
1310,ポイズン,1.245,03-2020
1311,ダルシム,1.184,03-2020
1312,ブランカ,1.086,03-2020
1313,ファルケ,0.879,03-2020
1314,メナト,0.815,03-2020
1315,ファン,0.742,03-2020
1316,リュウ,9.951,04-2020
1317,ケン,6.742,04-2020
1318,豪鬼,6.507,04-2020
1319,影ナル者,5.999,04-2020
1320,ガイル,4.601,04-2020
1321,セス,3.668,04-2020
1322,ザンギエフ,3.535,04-2020
1323,ベガ,3.432,04-2020
1324,キャミィ,2.803,04-2020
1325,春麗,2.597,04-2020
1326,ユリアン,2.584,04-2020
1327,かりん,2.515,04-2020
1328,ギル,2.466,04-2020
1329,サガット,2.195,04-2020
1330,さくら,2.152,04-2020
1331,ララ,2.126,04-2020
1332,ナッシュ,2.076,04-2020
1333,G,1.919,04-2020
1334,アビゲイル,1.912,04-2020
1335,エド,1.885,04-2020
1336,アレックス,1.843,04-2020
1337,バイソン,1.787,04-2020
1338,ジュリ,1.704,04-2020
1339,是空,1.697,04-2020
1340,コーリン,1.637,04-2020
1341,レインボー・ミカ,1.619,04-2020
1342,コーディー,1.581,04-2020
1343,バルログ,1.579,04-2020
1344,いぶき,1.579,04-2020
1345,ルシア,1.562,04-2020
1346,ネカリ,1.56,04-2020
1347,エドモンド本田,1.516,04-2020
1348,ラシード,1.355,04-2020
1349,バーディー,1.319,04-2020
1350,ポイズン,1.232,04-2020
1351,ダルシム,1.206,04-2020
1352,ブランカ,1.12,04-2020
1353,ファルケ,0.884,04-2020
1354,メナト,0.848,04-2020
1355,ファン,0.708,04-2020
1356,リュウ,9.644,05-2020
1357,豪鬼,6.654,05-2020
1358,ケン,6.433,05-2020
1359,影ナル者,5.626,05-2020
1360,ガイル,4.447,05-2020
1361,ザンギエフ,3.566,05-2020
1362,ベガ,3.461,05-2020
1363,セス,3.31,05-2020
1364,ユリアン,2.963,05-2020
1365,キャミィ,2.905,05-2020
1366,春麗,2.693,05-2020
1367,かりん,2.656,05-2020
1368,ギル,2.34,05-2020
1369,さくら,2.276,05-2020
1370,サガット,2.223,05-2020
1371,ララ,2.221,05-2020
1372,ナッシュ,1.968,05-2020
1373,エド,1.916,05-2020
1374,アビゲイル,1.885,05-2020
1375,ジュリ,1.871,05-2020
1376,アレックス,1.812,05-2020
1377,G,1.803,05-2020
1378,是空,1.796,05-2020
1379,バイソン,1.78,05-2020
1380,コーリン,1.69,05-2020
1381,コーディー,1.676,05-2020
1382,レインボー・ミカ,1.628,05-2020
1383,いぶき,1.627,05-2020
1384,ルシア,1.625,05-2020
1385,ネカリ,1.613,05-2020
1386,バルログ,1.559,05-2020
1387,ラシード,1.418,05-2020
1388,エドモンド本田,1.401,05-2020
1389,ポイズン,1.361,05-2020
1390,バーディー,1.361,05-2020
1391,ダルシム,1.249,05-2020
1392,ブランカ,1.086,05-2020
1393,ファルケ,0.933,05-2020
1394,メナト,0.841,05-2020
1395,ファン,0.687,05-2020
1396,リュウ,9.752,06-2020
1397,豪鬼,6.555,06-2020
1398,ケン,6.433,06-2020
1399,影ナル者,4.819,06-2020
1400,ガイル,4.435,06-2020
1401,ザンギエフ,3.588,06-2020
1402,ベガ,3.373,06-2020
1403,セス,3.252,06-2020
1404,ユリアン,3.057,06-2020
1405,キャミィ,2.97,06-2020
1406,かりん,2.764,06-2020
1407,春麗,2.715,06-2020
1408,さくら,2.38,06-2020
1409,ララ,2.299,06-2020
1410,ギル,2.214,06-2020
1411,サガット,2.109,06-2020
1412,ナッシュ,1.913,06-2020
1413,ジュリ,1.913,06-2020
1414,アビゲイル,1.901,06-2020
1415,エド,1.899,06-2020
1416,是空,1.857,06-2020
1417,バイソン,1.836,06-2020
1418,アレックス,1.812,06-2020
1419,いぶき,1.789,06-2020
1420,G,1.783,06-2020
1421,コーリン,1.775,06-2020
1422,バルログ,1.737,06-2020
1423,コーディー,1.711,06-2020
1424,ネカリ,1.585,06-2020
1425,ルシア,1.581,06-2020
1426,ポイズン,1.57,06-2020
1427,レインボー・ミカ,1.562,06-2020
1428,エドモンド本田,1.424,06-2020
1429,ラシード,1.421,06-2020
1430,バーディー,1.384,06-2020
1431,ダルシム,1.182,06-2020
1432,ブランカ,1.077,06-2020
1433,ファルケ,0.931,06-2020
1434,メナト,0.905,06-2020
1435,ファン,0.734,06-2020
